ENSG00000127481.15	UBR4
ENSG00000127463.15	EMC1
ENSG00000053372.5	MRTO4
ENSG00000286064.1	AL035413.2
ENSG00000211454.14	AKR7L
ENSG00000162482.5	AKR7A3
ENSG00000270728.1	AL035413.1
ENSG00000053371.12	AKR7A2
ENSG00000040487.13	SLC66A1
ENSG00000077549.18	CAPZB
ENSG00000173436.15	MICOS10
ENSG00000158747.14	NBL1
ENSG00000270136.6	MICOS10-NBL1
ENSG00000226396.1	AL031727.1
ENSG00000158748.4	HTR6
ENSG00000162542.13	TMCO4
ENSG00000178828.7	RNF186
ENSG00000169914.6	OTUD3
ENSG00000188784.4	PLA2G2E
ENSG00000188257.11	PLA2G2A
ENSG00000127472.11	PLA2G5
ENSG00000117215.15	PLA2G2D
ENSG00000158786.4	PLA2G2F
ENSG00000187980.6	PLA2G2C
ENSG00000225986.1	UBXN10-AS1
ENSG00000162543.6	UBXN10
ENSG00000158816.15	VWA5B1
ENSG00000162545.6	CAMK2N1
ENSG00000090432.7	MUL1
ENSG00000215520.3	RPS4XP4
ENSG00000183114.8	FAM43B
ENSG00000158825.6	CDA
ENSG00000158828.8	PINK1
ENSG00000244038.9	DDOST
ENSG00000117245.12	KIF17
ENSG00000235432.1	AL663074.2
ENSG00000189410.12	SH2D5
ENSG00000127483.18	HP1BP3
ENSG00000075151.20	EIF4G3
ENSG00000233072.1	RPS15AP6
ENSG00000236073.2	AL627311.1
ENSG00000235112.1	HSPE1P27
ENSG00000117298.16	ECE1
ENSG00000236216.5	PPP1R11P1
ENSG00000228823.1	AL592309.1
ENSG00000227001.3	NBPF2P
ENSG00000187952.9	HS6ST1P1
ENSG00000186543.7	CROCCP5
ENSG00000142794.18	NBPF3
ENSG00000176378.8	PFN1P10
ENSG00000162551.14	ALPL
ENSG00000076864.19	RAP1GAP
ENSG00000090686.16	USP48
ENSG00000231978.2	AL590103.1
ENSG00000187942.12	LDLRAD2
ENSG00000142798.20	HSPG2
ENSG00000232037.3	AL590556.1
ENSG00000283234.1	AL590556.2
ENSG00000219073.8	CELA3B
ENSG00000142789.20	CELA3A
ENSG00000070831.17	CDC42
ENSG00000285794.1	AL031281.2
ENSG00000271428.1	AL031281.1
ENSG00000162552.15	WNT4
ENSG00000234397.3	PPIAP34
ENSG00000184677.18	ZBTB40
ENSG00000070886.12	EPHA8
ENSG00000173372.17	C1QA
ENSG00000159189.12	C1QC
ENSG00000173369.16	C1QB
ENSG00000133216.16	EPHB2
ENSG00000227868.6	TEX46
ENSG00000004487.16	KDM1A
ENSG00000169641.13	LUZP1
ENSG00000229010.1	AL161672.1
ENSG00000215381.3	AL109936.1
ENSG00000125944.20	HNRNPR
ENSG00000125945.15	ZNF436
ENSG00000204219.11	TCEA3
ENSG00000232482.2	AL357134.1
ENSG00000088280.19	ASAP3
ENSG00000007968.7	E2F2
ENSG00000117318.9	ID3
ENSG00000229239.2	AL451000.1
ENSG00000142676.14	RPL11
ENSG00000011007.12	ELOA
ENSG00000057757.10	PITHD1
ENSG00000011009.11	LYPLA2
ENSG00000117308.15	GALE
ENSG00000117305.15	HMGCL
ENSG00000188822.8	CNR2
ENSG00000229106.1	BTBD6P1
ENSG00000230228.2	AL590609.2
ENSG00000189266.13	PNRC2
ENSG00000188529.15	SRSF10
ENSG00000215905.4	AL590609.1
ENSG00000142661.19	MYOM3
ENSG00000142677.4	IL22RA1
ENSG00000185436.12	IFNLR1
ENSG00000158055.15	GRHL3
ENSG00000001460.18	STPG1
ENSG00000001461.17	NIPAL3
ENSG00000117602.12	RCAN3
ENSG00000184454.7	NCMAP
ENSG00000227312.2	AL445686.1
ENSG00000133226.17	SRRM1
ENSG00000169504.15	CLIC4
ENSG00000020633.18	RUNX3
ENSG00000233419.3	AL121994.1
ENSG00000117614.10	SYF2
ENSG00000117616.18	RSRP1
ENSG00000261349.1	AL031432.2
ENSG00000187010.21	RHD
ENSG00000224183.1	SDHDP6
ENSG00000259984.1	AL928711.1
ENSG00000183726.11	TMEM50A
ENSG00000188672.18	RHCE
ENSG00000238084.4	AL031284.1
ENSG00000204178.11	MACO1
ENSG00000157978.11	LDLRAP1
ENSG00000117643.14	MAN1C1
ENSG00000162430.17	SELENON
ENSG00000255054.3	AL020996.2
ENSG00000117640.18	MTFR1L
ENSG00000127423.10	AUNIP
ENSG00000117632.23	STMN1
ENSG00000229786.1	SNRPFP2
ENSG00000223624.1	AL033528.1
ENSG00000158006.14	PAFAH2
ENSG00000158008.10	EXTL1
ENSG00000158014.15	SLC30A2
ENSG00000158022.6	TRIM63
ENSG00000175087.10	PDIK1L
ENSG00000197245.6	FAM110D
ENSG00000282872.1	C1orf232
ENSG00000236782.7	AL391650.1
ENSG00000142684.9	ZNF593
ENSG00000142675.18	CNKSR1
ENSG00000188782.8	CATSPER4
ENSG00000236155.6	AL355877.1
ENSG00000278572.1	AL355877.3
ENSG00000130695.15	CEP85
ENSG00000270733.1	AL355877.2
ENSG00000142669.15	SH3BGRL3
ENSG00000158062.20	UBXN11
ENSG00000169442.9	CD52
ENSG00000176092.15	CRYBG2
ENSG00000225854.2	AL451139.1
ENSG00000176083.17	ZNF683
ENSG00000131914.11	LIN28A
ENSG00000117682.17	DHDDS
ENSG00000223583.1	AL513365.1
ENSG00000198830.11	HMGN2
ENSG00000224129.1	DPPA2P2
ENSG00000117676.14	RPS6KA1
ENSG00000229247.2	AL627313.1
ENSG00000235069.2	AL627082.1
ENSG00000117713.20	ARID1A
ENSG00000060642.10	PIGV
ENSG00000287810.1	AL034380.2
ENSG00000204160.12	ZDHHC18
ENSG00000175793.12	SFN
ENSG00000142751.15	GPN2
ENSG00000198746.13	GPATCH3
ENSG00000090273.14	NUDC
ENSG00000131910.5	NR0B2
ENSG00000175707.9	KDF1
ENSG00000172746.6	RPL12P13
ENSG00000224064.1	AL356390.1
ENSG00000225294.1	OSTCP2
ENSG00000253368.4	TRNP1
ENSG00000158246.8	TENT5B
ENSG00000090020.11	SLC9A1
ENSG00000229985.2	AL590640.2
ENSG00000214973.3	CHCHD3P3
ENSG00000225159.1	NPM1P39
ENSG00000225990.2	SNRPEP7
ENSG00000142784.16	WDTC1
ENSG00000243659.1	FO393419.3
ENSG00000186501.14	TMEM222
ENSG00000241547.1	ACTG1P20
ENSG00000142765.18	SYTL1
ENSG00000142733.17	MAP3K6
ENSG00000142748.12	FCN3
ENSG00000174950.11	CD164L2
ENSG00000231207.1	FO393419.1
ENSG00000181773.7	GPR3
ENSG00000158195.11	WASF2
ENSG00000126705.14	AHDC1
ENSG00000000938.13	FGR
ENSG00000235912.1	AL031729.1
ENSG00000126709.15	IFI6
ENSG00000226662.2	CHMP1AP1
ENSG00000009780.15	FAM76A
ENSG00000231344.1	AL020997.1
ENSG00000230833.1	RPEP3
ENSG00000117758.14	STX12
ENSG00000117751.18	PPP1R8
ENSG00000130775.16	THEMIS2
ENSG00000117748.10	RPA2
ENSG00000130768.15	SMPDL3B
ENSG00000158161.16	EYA3
ENSG00000238231.2	AL512288.2
ENSG00000228589.3	SPCS2P4
ENSG00000228943.1	AL137792.2
ENSG00000214812.3	AL137792.1
ENSG00000169403.12	PTAFR
ENSG00000126698.11	DNAJC8
ENSG00000130770.18	ATP5IF1
ENSG00000130766.5	SESN2
ENSG00000130772.14	MED18
